大臺北地區捷運車站出入口,,,,
項次,出入口名稱,出入口?編號,坐標X(TWD97),坐標Y(TWD97)
126,民權西路站出口10,10,302468.7334,2772863.938
127,民權西路站出口2,2,302422.2787,2772728.994
128,民權西路站出口3,3,302446.5749,2772710.671
129,民權西路站出口4,4,302457.6695,2772737.774
130,民權西路站出口5,5,302310.1036,2772882.68
131,民權西路站出口6,6,302316.3485,2772824.119
132,民權西路站出口7,7,302483.5819,2772821.777
133,民權西路站出口8,8,302536.0172,2772822.987
134,民權西路站出口9,9,302539.5581,2772861.912
135,永安市場站出口,0,301566.0277,2766124.858
136,永春站出口1,1,308064.3156,2770445.587
137,永春站出口2,2,308077.6678,2770383.444
138,永春站出口3,3,308158.688,2770412.126
139,永春站出口4,4,308211.4107,2770410.342
140,永春站出口5,5,308207.5778,2770463.096
141,永寧站出口1,1,293961.4871,2762172.83
142,永寧站出口2,2,293990.0312,2762092.693
143,永寧站出口3,3,294144.3639,2762210.254
144,永寧站出口4,4,294109.7185,2762248.045
145,石牌站出口1,1,301955.3589,2778617.399
146,石牌站出口2,2,302045.4751,2778476.255
147,先嗇站出口1,1,297582.6865,2771048.148
148,先嗇站出口2,2,297574.8569,2770951.649
149,先嗇站出口3,3,297613.0236,2770964.579
150,江子翠站出口1,1,297612.8667,2769219.956
151,江子翠站出口2,2,297615.9642,2769148.554
152,江子翠站出口3,3,297648.5692,2769122.736
153,江子翠站出口4,4,297714.2477,2769142.888
154,江子翠站出口5,5,297785.2478,2769295.81
155,江子翠站出口6,6,297750.7063,2769322.832
156,竹圍站出口1,1,296366.7875,2781022.298
157,竹圍站出口2,2,296320.8271,2781001.5
158,行天宮站出口1,1,303772.4622,2772325.227
159,行天宮站出口2,2,303819.5284,2772373.439
160,行天宮站出口3,3,303817.1015,2772516.964
161,行天宮站出口4,4,303776.34,2772571.915
162,西門站出口1,1,301208.8673,2770542.04
163,西門站出口2,2,301308.0867,2770452.23
164,西門站出口3,3,301352.1637,2770504.927
165,西門站出口4,4,301363.8979,2770550.77
166,西門站出口5,5,301357.0214,2770634.363
167,西門站出口6,6,301222.1566,2770591.243
168,西湖站出口1,1,307195.2909,2775039.461
169,西湖站出口2,2,307225.3365,2774971.183
170,辛亥站出口,0,306211.975,2766428.29
171,亞東醫院站出口1,1,295684.0396,2765742.239
172,亞東醫院站出口2,2,295654.6029,2765652.275
173,亞東醫院站出口3,3,295705.0659,2765680.017
174,奇岩站出口,0,300517.5074,2779848.415
175,府中站出口1,1,296320.3459,2766804.176
176,府中站出口2,2,296367.2824,2766847.689
177,府中站出口3,3,296324.6102,2766875.85
178,忠孝復興站出口1,1,304795.5611,2770517.923
179,忠孝復興站出口2,2,304837.4351,2770459.014
180,忠孝復興站出口3,3,305014.8249,2770479.921
181,忠孝復興站出口4,4,305002.3422,2770517.17
182,忠孝復興站出口5,5,304893.8078,2770544.159
183,忠孝敦化站出口1,1,305596.5451,2770505.98
184,忠孝敦化站出口2,2,305621.9389,2770505.98
185,忠孝敦化站出口3,3,305624.271,2770462.929
186,忠孝敦化站出口4,4,305593.7331,2770463.189
187,忠孝敦化站出口5,5,305483.2941,2770459.989
188,忠孝敦化站出口6,6,305417.8207,2770436.537
189,忠孝敦化站出口7,7,305481.5058,2770513.622
190,忠孝敦化站出口8,8,305416.5317,2770544.727
191,忠孝新生站出口1,1,303647.6616,2770636.791
192,忠孝新生站出口2,2,303683.2855,2770540.321
193,忠孝新生站出口3,3,303848.5702,2770486.061
194,忠孝新生站出口4,4,303799.1709,2770598.427
195,忠孝新生站出口5,5,303741.7309,2770423.728
196,忠孝新生站出口6,6,303791.5393,2770391.636
197,忠孝新生站出口7,7,303797.6874,2770460.666
198,忠義站出口,0,297714.0197,2780388.068
199,昆陽站出口1,1,309810.5963,2771472.233
200,昆陽站出口2,2,309806.8645,2771499.608
201,昆陽站出口3,3,309897.1649,2771525.086
202,昆陽站出口4,4,309925.461,2771519.517
203,明德站出口,0,302357.1071,2777980.841
204,東門站出口1,1,303281.4758,2769689.482
205,東門站出口2,2,303232.9215,2769691.601
206,東門站出口3,3,303293.8103,2769575.268
207,東門站出口4,4,303359.2229,2769592.189
208,東門站出口5,5,303444.9065,2769581.679
209,東門站出口6,6,303500.7773,2769655.851
210,東門站出口7,7,303451.723,2769662.62
211,東門站出口8,8,303391.3356,2769687.097
212,東湖站出口1,1,311615.9604,2773365.573
213,東湖站出口2,2,311670.78,2773351.294
214,東湖站出口3,3,311745.2915,2773338.243
215,松山站出口1,1,308232.9766,2771458.677
216,松山站出口2,2,308126.7063,2771455.692
217,松山站出口3,3,308273.3874,2771427.066
218,松山站出口4,4,308322.8581,2771428.547
219,松山站出口5,5,308319.2053,2771499.569
220,松山機場站出口1,1,305700.3935,2772936.868
221,松山機場站出口2,2,305590.7568,2772931.902
222,松山機場站出口3,3,305644.9756,2772861.006
223,松江南京站出口1,1,303681.8943,2771630.398
224,松江南京站出口2,2,303764.1472,2771599.98
225,松江南京站出口3,3,303764.2856,2771572.83
226,松江南京站出口4,4,303794.249,2771598.849
227,松江南京站出口5,5,303899.6241,2771632.906
228,松江南京站出口6,6,303864.9078,2771664.166
229,松江南京站出口7,7,303795.0423,2771728.661
230,松江南京站出口8,8,303724.1005,2771751.357
231,板橋站出口1,1,296608.2434,2767355.901
232,板橋站出口2,2,296688.785,2767307.412
233,板橋站出口3,3,296688.785,2767468.461
234,板橋站出口3A,出口3A,296737.4127,2767435.448
235,芝山站出口1,1,302713.7486,2777184.734
236,芝山站出口2,2,302689.7802,2777344.858
237,信義安和站出口1,1,305776.5463,2769615.42
238,信義安和站出口2,2,305720.1062,2769540.286
239,信義安和站出口3,3,305829.9396,2769540.849
240,信義安和站出口4,4,305867.5914,2769538.235
241,信義安和站出口5,5,305880.6609,2769600.928
242,南京三民站出口1,1,306823.6844,2771616.338
243,南京三民站出口2,2,306812.5167,2771579.826
244,南京三民站出口3,3,306966.7397,2771576.791
245,南京三民站出口4,4,306983.0966,2771613.847
246,南京復興站出口1,1,304709.7549,2771728.67
247,南京復興站出口2,2,304677.4293,2771600.747
248,南京復興站出口3,3,304796.0728,2771619.588
249,南京復興站出口4,4,304803.3298,2771619.491
250,南京復興站出口5,5,304950.3803,2771616.28
251,南京復興站出口6,6,304977.8581,2771647.058
252,南京復興站出口7,7,304939.4226,2771706.707
253,南京復興站出口8,8,304862.0634,2771649.182
254,南港展覽館站出口1,1,312258.5812,2772124.412
255,南港展覽館站出口2,2,312267.5521,2772065.014
256,南港展覽館站出口2A,出口2A,312266.5026,2772047.794
257,南港展覽館站出口3,3,312376.2164,2772021.704
258,南港展覽館站出口4,4,312383.2991,2772066.275
259,南港展覽館站出口5,5,312231.9559,2772012.041
260,南港展覽館站出口6,6,312374.2453,2771992.427
261,南港展覽館站出口7,7,312384.3242,2771933.654
262,南港站出口1,1,311210.8105,2771648.006
263,南港站出口2,2,311304.0106,2771664.588
264,南港軟體園區站出口1,1,312142.4636,2772617.884
265,南港軟體園區站出口2,2,312192.482,2772589.398
266,南勢角站出口1,1,301259.6995,2764803.004
267,南勢角站出口2,2,301326.5,2764769.275
268,南勢角站出口3,3,301378.7976,2764743.459
269,南勢角站出口4,4,301453.4635,2764705.05
270,後山埤站出口1,1,308669.076,2770825.81
271,後山埤站出口2,2,308714.2661,2770746.373
272,後山埤站出口3,3,308857.1146,2770916.327
273,後山埤站出口4,4,308772.5617,2770962.646
274,科技大樓站出口,0,304861.9202,2768789.716
275,紅樹林站出口1,1,296286.2046,2782920.071
276,紅樹林站出口2,2,296224.1985,2782903.454
277,徐匯中學站出口1,1,298380.098,2774754.35
278,徐匯中學站出口2,2,298471.2187,2774771.141
279,海山站出口1,1,295289.063,2764231.69
280,海山站出口2,2,295323.5165,2764226.695
281,海山站出口3,3,295340.4925,2764311.06
282,迴龍站出口1,1,291550.6255,2768312.295
283,迴龍站出口2,2,291459.9203,2768146.99
284,迴龍站出口3,3,291707.4921,2768324.026
285,動物園站出口1,1,308545.5515,2765713.427
286,動物園站出口2,2,308484.4758,2765683.947
287,唭哩岸站出口1,1,301127.5829,2779241.873
288,唭哩岸站出口2,2,301021.9897,2779248.46
289,國父紀念館站出口1,1,306173.2056,2770529.213
290,國父紀念館站出口2,2,306170.563,2770416.357
291,國父紀念館站出口3,3,306292.098,2770450.648
292,國父紀念館站出口4,4,306381.8346,2770448.995
293,國父紀念館站出口5,5,306292.4094,2770491.011
294,淡水站出口1,1,294898.3785,2784502.152
295,淡水站出口2,2,294946.6534,2784437.165
296,頂埔站出口2,2,292250.1978,2761287.583
297,頂埔站出口3,3,292374.2775,2761366.143
298,頂埔站出口4,4,292402.0375,2761445.212
299,頂溪站出口1,1,302045.3253,2767303.569
300,頂溪站出口2,2,301986.9012,2767447.334
301,善導寺站出口1,1,302775.7455,2770876.775
302,善導寺站出口2,2,302764.225,2770834.8
